                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9306,                 3.4119,                 4.2043,                0.00363,                0.99323,                0.02329,                0.01065,                 2.2101,                 3.4696,                 4.1091,                0.00052,                0.00052,                0.00052
                      1,                 2.8717,                 3.2304,                 3.9935,                0.00363,                0.99323,                0.10154,                0.03889,                  2.421,                 3.4701,                 4.3076,              0.0010495,              0.0010495,              0.0010495
                      2,                  2.821,                 3.0389,                 3.6234,                0.13967,                0.11512,                0.09455,                0.03391,                 2.6494,                 3.2208,                 4.6217,              0.0015683,              0.0015683,              0.0015683
                      3,                 2.6821,                 2.8752,                 3.3937,                0.43701,                0.41761,                0.37558,                0.17008,                 2.1168,                 6.9589,                 3.0243,              0.0019406,              0.0019406,              0.0019406
                      4,                 2.6405,                 2.7608,                 3.2975,                0.35014,                0.25177,                0.26242,                0.09927,                 2.2974,                 4.8425,                 3.5005,              0.0019406,              0.0019406,              0.0019406
                      5,                 2.5793,                 2.6775,                 3.1787,                0.67555,                0.65332,                0.73165,                0.30576,                 2.2012,                 2.8414,                 3.0977,              0.0019208,              0.0019208,              0.0019208
                      6,                 2.4444,                 2.4668,                 3.0676,                0.68379,                0.61851,                0.71707,                0.37415,                 1.7289,                 3.2128,                 2.6004,               0.001901,               0.001901,               0.001901
                      7,                 2.4016,                 2.3889,                 2.9642,                 0.5212,                0.66817,                0.54536,                0.20164,                 2.0603,                 3.1867,                 2.8804,              0.0018812,              0.0018812,              0.0018812
                      8,                 2.2832,                  2.227,                 2.8823,                0.75401,                0.76524,                0.81402,                0.41024,                 1.5882,                 1.7714,                 2.5204,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.1597,                 2.1523,                 2.8011,                0.78568,                0.78616,                0.86396,                0.42259,                 1.5861,                 1.6967,                 2.3803,              0.0018416,              0.0018416,              0.0018416
                     10,                  2.162,                 2.1325,                  2.756,                0.11562,                0.05192,                0.04113,                0.01427,                 2.4837,                 3.3508,                 3.3222,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.0416,                 1.9611,                 2.6235,                0.33964,                0.05869,                0.05196,                0.01948,                 2.0059,                 3.7661,                 3.4094,               0.001802,               0.001802,               0.001802
                     12,                 2.0345,                 1.9326,                 2.5661,                0.36575,                0.17381,                0.18537,                0.06595,                 1.8309,                 3.0303,                 2.7883,              0.0017822,              0.0017822,              0.0017822
                     13,                 1.9767,                 1.8534,                 2.5101,                0.50529,                 0.5326,                0.51701,                0.23023,                 1.6723,                 1.9659,                 2.3952,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.8917,                 1.7143,                 2.3832,                0.89608,                0.89535,                0.92688,                0.54669,                 1.4089,                 1.1993,                 2.0879,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.8702,                 1.6551,                 2.3661,                0.80695,                0.85865,                0.88162,                0.52354,                 1.3431,                 1.4744,                 2.0375,              0.0017228,              0.0017228,              0.0017228
                     16,                  1.743,                 1.5534,                 2.2815,                0.90097,                0.90745,                0.95844,                0.60803,                 1.2951,                 1.3608,                 1.9968,               0.001703,               0.001703,               0.001703
