                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.9664,                 3.3937,                 4.2274,                0.00352,                      1,                0.09813,                0.03263,                 2.3041,                 3.3587,                 4.1514,                0.00028,                0.00028,                0.00028
                      1,                 2.9019,                 3.2657,                  4.148,                0.00353,                      1,                0.71997,                0.18047,                 2.2998,                  3.346,                 4.1331,             0.00057426,             0.00057426,             0.00057426
                      2,                 2.9039,                 3.1218,                 3.9461,                0.00338,                      1,                0.01994,                0.00793,                 2.4289,                 3.3681,                 4.2677,             0.00086258,             0.00086258,             0.00086258
                      3,                 2.7705,                 2.8362,                 3.6282,                0.00337,                      1,                0.02133,                0.00797,                  2.688,                 3.2857,                 4.5817,               0.001145,               0.001145,               0.001145
                      4,                  2.648,                 2.7751,                 3.4463,                0.00336,                      1,                0.02132,                 0.0084,                 2.7435,                 3.4875,                 4.6754,              0.0014214,              0.0014214,              0.0014214
                      5,                 2.5743,                 2.6677,                  3.214,                0.00334,                      1,                0.04843,                0.01345,                 2.8954,                 3.3257,                 4.7794,              0.0016919,              0.0016919,              0.0016919
                      6,                 2.4509,                 2.5889,                 3.1727,                0.21838,                0.21941,                0.12658,                0.05356,                 2.4281,                 7.8523,                 4.1477,              0.0018812,              0.0018812,              0.0018812
                      7,                 2.4596,                 2.4418,                 3.0785,                0.45406,                0.43165,                 0.4301,                0.15206,                 1.9373,                 16.504,                 2.9497,              0.0018812,              0.0018812,              0.0018812
                      8,                  2.379,                 2.4264,                 3.0063,                0.11416,                0.74262,                0.32956,                0.14602,                 1.8474,                 27.631,                 3.1484,              0.0018614,              0.0018614,              0.0018614
                      9,                 2.3712,                 2.3839,                 3.0245,                0.44635,                0.99156,                0.83781,                0.46339,                 1.6475,                 7.6051,                 2.9108,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.3106,                 2.3043,                 2.9149,                0.00763,                0.00844,                0.00069,                 0.0002,                 2.6539,                 5.8107,                 5.3942,              0.0018218,              0.0018218,              0.0018218
                     11,                 2.2519,                   2.14,                 2.8975,                0.07111,                0.16456,                 0.0312,                0.01285,                 1.7734,                 4.5861,                 2.6662,               0.001802,               0.001802,               0.001802
                     12,                 2.2073,                 1.9902,                 2.8635,                0.02843,                0.01266,                0.00176,                0.00052,                 1.8682,                 5.0917,                 2.9181,              0.0017822,              0.0017822,              0.0017822
                     13,                 2.0703,                 1.9255,                 2.7265,                 0.2164,                  0.173,                0.18339,                0.06016,                 2.2114,                 2.9347,                 2.7702,              0.0017624,              0.0017624,              0.0017624
                     14,                 2.1153,                 1.9645,                 2.7558,                0.83054,                0.88608,                0.89344,                0.44718,                 1.6826,                 1.5513,                 2.3722,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.0401,                 1.8372,                 2.7206,                0.12651,                0.05063,                0.07271,                0.02068,                 2.5057,                 3.2048,                 3.2411,              0.0017228,              0.0017228,              0.0017228
                     16,                  2.047,                 1.8053,                 2.7005,                0.59513,                0.74262,                0.68065,                0.33118,                 1.8766,                 1.9409,                 2.7072,               0.001703,               0.001703,               0.001703
                     17,                 1.9489,                 1.8412,                 2.6208,                0.88987,                0.91139,                0.93324,                0.60442,                 1.4054,                 1.5999,                 2.1955,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.9227,                 1.6915,                 2.5932,                0.90114,                0.95781,                0.96271,                0.55073,                 1.5461,                 1.5938,                 2.2413,              0.0016634,              0.0016634,              0.0016634
